parameter,N,T,MC_sd,mean_SE_conv,mean_SE_cluster,ratio_conv_MC,ratio_cluster_MC,ratio_conv_cluster
beta1,50,4,.0504799540862391,.0515711091327826,.0510332221174699,1.021615610915164,1.010960153218159,1.010539938357695
beta1,200,6,.0215216097046204,.0215624656464285,.021497028621728,1.001898368308358,.9988578418050614,1.003044003236538
beta1,500,10,.0109141678013669,.0111162119653776,.0111099778168868,1.018512099840117,1.01794090205351,1.000561130597518
beta2,50,4,.0424421609301602,.0421063710458431,.0417340668581027,.9920882943526449,.9833162577837946,1.008920870065365
beta2,200,6,.0173062452397338,.0175903394360297,.0175341428500051,1.016415703831796,1.01316851848072,1.003204980506052
beta2,500,10,.0092093349599162,.0090802474930783,.0090708530431748,.9859829762518406,.9849628754579843,1.001035674358165
